00585 20030Y|WHP|24|ST|NORMAL|414.67|1|INR
00585 20030Y|WHR|7|ST|NORMAL|414.67|1|INR
00585 20030Y|WHR|9|ST|NORMAL|414.67|1|INR
00585 20030Y|WMA|27|ST|NORMAL|414.67|1|INR
0058607501|QHA|2|ST|NORMAL|299.89|1|INR
0058607501|QHI|3|ST|NORMAL|299.89|1|INR
0058607501|WHB|24|ST|NORMAL|299.89|1|INR
0058607501|WHG|6|ST|NORMAL|299.89|1|INR
0058607501|WHH|4|ST|NORMAL|299.89|1|INR
0058607501|WHI|2|ST|NORMAL|299.89|1|INR
0058607501|WHL|3|ST|NORMAL|299.89|1|INR
0058607501|WHN|1|ST|NORMAL|299.89|1|INR
0058607501|WHN|1|ST|NORMAL|299.89|1|INR
0058607501|WHR|5|ST|NORMAL|299.89|1|INR
0058607501|WMA|13|ST|NORMAL|299.89|1|INR
0058607502|WHB|29|ST|NORMAL|300|1|INR
00600620|WHI|24|ST|NORMAL|0.43|1|INR
00600058|WHB|100|ST|NORMAL|2.92|1|INR
006000608|WHB|300|ST|NORMAL|5.64|1|INR
00600346|WHP|200|ST|NORMAL|4.03|1|INR
006003530|WHP|200|ST|NORMAL|3.62|1|INR
006003625|WHP|200|ST|NORMAL|2.66|1|INR
00600368|WHP|500|ST|NORMAL|2.55|1|INR
006003825|WHP|200|ST|NORMAL|6.54|1|INR
0063530120|WHB|40|ST|NORMAL|270.17|1|INR
006969321|WHI|1|ST|NORMAL|78.14|1|INR
00699010|WHR|3|ST|NORMAL|1276.1|1|INR
00699025|WHR|1|ST|NORMAL|2402.78|1|INR
00699030|WHR|2|ST|NORMAL|4027|1|INR
0069900212|WHL|1|ST|NORMAL|1971.83|1|INR
00699002129|WHP|1|ST|NORMAL|1376.49|1|INR
00699938012|QHB|1|ST|NORMAL|688.39|1|INR
00699938012|WHP|4|ST|NORMAL|688.39|1|INR
00699938012|WHR|1|ST|NORMAL|688.39|1|INR
0070199132|WHB|10|ST|NORMAL|16100.19|1|INR
00701992278|WHB|7|ST|NORMAL|44020.89|1|INR
0070199278|WHB|13|ST|NORMAL|29685.88|1|INR
0070199278|WHI|2|ST|NORMAL|29685.88|1|INR
0070199278|WHP|1|ST|NORMAL|29685.88|1|INR
0070199278|WMA|1|ST|NORMAL|29685.88|1|INR
0070199280|WHB|2|ST|NORMAL|45200|1|INR
007023520|WHB|1|ST|NORMAL|46779.5|1|INR
007023520|WHB|10|ST|NORMAL|46779.5|1|INR
007023520|WMA|1|ST|NORMAL|46779.5|1|INR
007023521|WHB|1|ST|NORMAL|5406|1|INR
007023521|WHB|12|ST|NORMAL|5406|1|INR
007023525|WHN|1|ST|NORMAL|1685.84|1|INR
007023525|WHR|1|ST|NORMAL|1685.84|1|INR
007023525|WMA|1|ST|NORMAL|1685.84|1|INR
007023526|WHB|1|ST|NORMAL|1450.35|1|INR
007023526|WHG|1|ST|NORMAL|1450.35|1|INR
007023526|WHN|1|ST|NORMAL|1450.35|1|INR
007023526|WMA|1|ST|NORMAL|1450.35|1|INR
007024510|QHA|5|ST|NORMAL|2252.52|1|INR
007024510|QHI|2|ST|NORMAL|2252.52|1|INR
007024510|QHL|1|ST|NORMAL|2252.52|1|INR
007024510|QHN|1|ST|NORMAL|2252.52|1|INR
007024510|QHR|2|ST|NORMAL|2252.52|1|INR
007024510|WHB|4|ST|NORMAL|2252.52|1|INR
007024510|WHB|1|ST|NORMAL|2252.52|1|INR
007024510|WHG|1|ST|NORMAL|2252.52|1|INR
007024510|WHH|2|ST|NORMAL|2252.52|1|INR
007024510|WHI|3|ST|NORMAL|2252.52|1|INR
007024510|WHL|1|ST|NORMAL|2252.52|1|INR
007024510|WHN|2|ST|NORMAL|2252.52|1|INR
007024510|WHN|1|ST|NORMAL|2252.52|1|INR
007024510|WHR|2|ST|NORMAL|2252.52|1|INR
007024510|WHR|2|ST|NORMAL|2252.52|1|INR
007024510|WMA|3|ST|NORMAL|2252.52|1|INR
007024510|WHH|1|ST|NORMAL|14493.35|1|INR
007024511|WHR|2|ST|NORMAL|2394|1|INR
0070245131|WHB|7|ST|NORMAL|240|1|INR
007024515|WHL|1|ST|NORMAL|10971.7|1|INR
007024519|WHB|1|ST|NORMAL|5150.02|1|INR
007024519|WHB|9|ST|NORMAL|5150.02|1|INR
007024519|WHI|1|ST|NORMAL|5150.02|1|INR
007024519|WHN|3|ST|NORMAL|5150.02|1|INR
007024519|WHP|1|ST|NORMAL|5150.02|1|INR
007024519|WHR|3|ST|NORMAL|5150.02|1|INR
007024519|WMA|1|ST|NORMAL|5150.02|1|INR
007024520|WHB|1|ST|NORMAL|5850.02|1|INR
007024520|WHB|13|ST|NORMAL|5850.02|1|INR
007024520|WHI|2|ST|NORMAL|5850.02|1|INR
007024520|WHN|5|ST|NORMAL|5850.02|1|INR
007024520|WHP|1|ST|NORMAL|5850.02|1|INR
007024520|WHR|2|ST|NORMAL|5850.02|1|INR
007024521|WHB|2|ST|NORMAL|1250|1|INR
007024521|WHB|13|ST|NORMAL|1250|1|INR
007024521|WHI|1|ST|NORMAL|1250|1|INR
007024521|WHN|7|ST|NORMAL|1250|1|INR
007024521|WHP|1|ST|NORMAL|1250|1|INR
007024521|WHR|2|ST|NORMAL|1250|1|INR
007024521|WMA|1|ST|NORMAL|1250|1|INR
007026211|WHP|1|ST|NORMAL|486.4|1|INR
00702426061|WHB|2|ST|NORMAL|1620.69|1|INR
0070249932|WHG|2|ST|NORMAL|3287.72|1|INR
00703765|WHR|1|ST|NORMAL|9985.75|1|INR
00703 8691B|QHA|1|ST|NORMAL|394.79|1|INR
00703 8691B|QHI|2|ST|NORMAL|394.79|1|INR
00703 8691B|QHN|1|ST|NORMAL|394.79|1|INR
00703 8691B|WHG|6|ST|NORMAL|394.79|1|INR
00703 8691B|WHH|5|ST|NORMAL|394.79|1|INR
00703 8691B|WHI|17|ST|NORMAL|394.79|1|INR
00703 8691B|WHN|4|ST|NORMAL|394.79|1|INR
00703 8691B|WHN|34|ST|NORMAL|394.79|1|INR
00703 8691B|WHP|52|ST|NORMAL|394.79|1|INR
00703 8691B|WHR|10|ST|NORMAL|394.79|1|INR
00703 8691B|WHR|6|ST|NORMAL|394.79|1|INR
00703 8691B|WMA|34|ST|NORMAL|394.79|1|INR
00703 8691DS|QHA|1|ST|NORMAL|676.58|1|INR
00703 8691DS|WHB|5|ST|NORMAL|676.58|1|INR
00703 8691DS|WHB|4|ST|NORMAL|676.58|1|INR
00703 8691DS|WHG|1|ST|NORMAL|676.58|1|INR
00703 8691DS|WHI|5|ST|NORMAL|676.58|1|INR
00703 8691DS|WHN|3|ST|NORMAL|676.58|1|INR
00703 8691DS|WHP|2|ST|NORMAL|676.58|1|INR
00703 8691DS|WMA|19|ST|NORMAL|676.58|1|INR
00703 8692B|QHB|1|ST|NORMAL|641.15|1|INR
00703 8692B|QHI|1|ST|NORMAL|641.15|1|INR
00703 8692B|WHB|15|ST|NORMAL|641.15|1|INR
00703 8692B|WHB|52|ST|NORMAL|641.15|1|INR
00703 8692b|WHG|1|ST|NORMAL|641.15|1|INR
00703 8692B|WHH|5|ST|NORMAL|641.15|1|INR
00703 8692B|WHI|11|ST|NORMAL|641.15|1|INR
00703 8692B|WHN|2|ST|NORMAL|641.15|1|INR
00703 8692B|WHP|2|ST|NORMAL|641.15|1|INR
00703 8692b|WHR|3|ST|NORMAL|641.15|1|INR
00703 8692B|WHR|7|ST|NORMAL|641.15|1|INR
00703 8692B|WMA|5|ST|NORMAL|641.15|1|INR
00703 8692S|WHI|7|ST|NORMAL|582.11|1|INR
0070793890|WHB|2|ST|NORMAL|3152.5|1|INR
007145507|WHP|2|ST|NORMAL|309.5|1|INR
0071455624|QHR|1|ST|NORMAL|19094.81|1|INR
0071455624|WHB|1|ST|NORMAL|19094.81|1|INR
0071455624|WHB|3|ST|NORMAL|19094.81|1|INR
0071455624|WHG|1|ST|NORMAL|19094.81|1|INR
0071455624|WHI|1|ST|NORMAL|19094.81|1|INR
0071455624|WHL|1|ST|NORMAL|19094.81|1|INR
0071455624|WMA|2|ST|NORMAL|19094.81|1|INR
