BB0|120|1|10101|120|1|S1||||||
BB0|120|1|10102|120|1|S1||||||
BB0|120|1|10103|120|1|S1||||||
BB0|120|1|10104|120|1|S1||||||
BB0|120|1|10105|120|1|S1||||||
BB0|120|1|10301|120|1|S1||||||
BB0|120|1|10302|120|1|S1||||||
BB0|120|1|10303|120|1|S1||||||
BB0|120|1|10304|120|1|S1||||||
BB0|120|1|10501|120|1|S1||||||
BB0|120|1|10502|120|1|S1||||||
BB0|120|1|10503|120|1|S1||||||
BB0|120|1|10504|120|1|S1||||||
BB0|120|1|10505|120|1|S1||||||
BB0|120|1|10506|120|1|S1||||||
BB0|120|1|10701|120|1|S1||||||
BB0|120|1|10702|120|1|S1||||||
BB0|120|1|10703|120|1|S1||||||
BB0|120|1|10704|120|1|S1||||||
BB0|120|1|10705|120|1|S1||||||
BB0|120|1|10706|120|1|S1||||||
BB0|120|1|10707|120|1|S1||||||
BB0|120|1|10901|120|1|S1||||||
BB0|120|1|10902|120|1|S1||||||
BB0|120|1|10903|120|1|S1||||||
BB0|120|1|11101|120|1|S1||||||
BB0|120|1|11102|120|1|S1||||||
BB0|120|1|11103|120|1|S1||||||
BB0|120|1|11104|120|1|S1||||||
BB0|120|1|11105|120|1|S1||||||
BB1|121|2|11106|120|2|S1||||||
BB0|120|1|11301|120|1|S1||||||
BB0|120|1|11302|120|1|S1||||||
BB0|120|1|11303|120|1|S1||||||
BB0|120|1|11304|120|1|S1||||||
BB0|120|1|11305|120|1|S1||||||
BB0|120|1|11501|120|1|S1||||||
BB0|120|1|11502|120|1|S1||||||
BB0|120|1|11503|120|1|S1||||||
BB0|120|1|11504|120|1|S1||||||
BB0|120|1|11505|120|1|S1||||||
BB0|120|1|11701|120|1|S1||||||
BB0|120|1|11702|120|1|S1||||||
BB0|120|1|11703|120|1|S1||||||
BB0|120|1|11704|120|1|S1||||||
BB0|120|1|11705|120|1|S1||||||
BB0|120|1|11706|120|1|S1||||||
BB0|120|1|20101|120|1|S1||||||
BB0|120|1|20102|120|1|S1||||||
BB0|120|1|20103|120|1|S1||||||
BB0|120|1|20104|120|1|S1||||||
BB0|120|1|20105|120|1|S1||||||
BB0|120|1|20106|120|1|S1||||||
BB0|120|1|20201|120|1|S1||||||
BB0|120|1|20202|120|1|S1||||||
BB0|120|1|20203|120|1|S1||||||
BB0|120|1|20204|120|1|S1||||||
BB0|120|1|20205|120|1|S1||||||
BB0|120|1|20206|120|1|S1||||||
BB0|120|1|20301|120|1|S1||||||
BB0|120|1|20302|120|1|S1||||||
BB0|120|1|20303|120|1|S1||||||
BB0|120|1|20304|120|1|S1||||||
