0000325|WHIND|10|
000124|WHPUN|400|
00101616|WHBAN|175|
00101616|WHNAG|200|
00101616|WHPUN|1365|
00101620|WHNAG|45|
00101620|WHPUN|1380|
001343912|WHNAG|790|
001343918|WHHUB|400|
001343918|WHNAG|770|
001343924|WHHUB|400|
001343924|WHNAG|532|
001343932|WHNAG|520|
001343932|WHPUN|1777|
001344519|WHNAG|45|
00198575|WHBAN|1000|
0039404|WHBAN|100|
0039404|WHHUB|280|
0039404|WHNAG|540|
0039404|WHPUN|1495|
0040310|WHNOI|5000|
0040514|WHPUN|5000|
0040620|WHLUC|1041|
00410410|WHNOI|6000|
004156|WHNOI|1000|
004430508|WHBAN|1500|
004824|WHPUN|1500|
0048810|WHIND|2|
00480610|WHNOI|1800|
00480616|WHPUN|1000|
0048540|WHNOI|4000|
0048550|WHNOI|6000|
00500 010M|WHIND|9|
00500 07M|WHPUN|0.5|
00500 09M|WHIND|112|
00500100101|WHPUN|1100|
00500100106|WHPUN|1348|
00500100108|WHPUN|1125|
00500100149|WHHUB|603|
00500100149|WHNAG|468|
00500100149|WHPUN|400|
00501 001M|WHIND|6|
00571665|WMAHM|9|
0057486120|WHPUN|25|
0057486120|WHRAN|25|
0057486180|WHBAN|118|
0057486180|WHPUN|35|
0057486180|WHRAN|25|
0057486220|WHBAN|27|
0057486220|WHPUN|45|
0057486320|WHBAN|79|
0057486320|WHPUN|38|
0057486320|WHRAN|15|
005748641|WHBAN|20|
005748660|WHBAN|150|
005748660|WHRAN|15|
005748680|WHBAN|28|
005748680|WHGOA|35|
005748680|WHPUN|12|
0057820|WHGOA|10|
0057825|WHBAN|100|
00584111000|WHGOA|228|
00584111000|WHIND|119|
00584111000|WHLUC|3|
00584111000|WHNAG|40|
00584111000|WHPUN|126|
00584111000|WMAHM|28|
00584111200|WHGOA|21|
00584111200|WHIND|231|
00584111200|WHLUC|155|
00584111200|WHNOI|263|
00584111200|WHPUN|249|
00584111200|WMAHM|75|
00584111500|WHIND|37|
00584111500|WHLUC|90|
00584111500|WHNAG|50|
00584111500|WHPUN|55|
00584111500|WHRAN|44|
00585 20030B|QHAHM|1|
00585 20030B|WHBAN|12|
00585 20030B|WHBHI|355|
00585 20030B|WHGOA|3|
00585 20030B|WHIND|27|
