0407 16|040716    005   50|BB00|BB0|120||120|020105|A|020105|3600|999999|999000|PC|000|X|
0407 3|04073     005   50|BB00|BB0|120||120|020105|B|020105|7500|999999|999000|PC|000|X|
0703 301 0|#N/A|BB00|BB0|120||120|020201|B|020201|10|999999|999000|PC|000|X|
0700 917|0700917   961    1|BB00|BB0|120||120|020202|A|020202|37|999999|999000|PC|000|X|
0700 745 09|070074509 961    1|BB00|BB0|120||120|020203|A|020203|24|999999|999000|PC|000|X|
0700 913 730|0700913730961    1|BB00|BB0|120||120|020204|A|020204|110|999999|999000|PC|000|X|
0700 735 09|070073509 961    1|BB00|BB0|120||120|020205|A|020205|25|999999|999000|PC|000|X|
0700 725 09|070072509 961    1|BB00|BB0|120||120|020206|A|020206|32|999999|999000|PC|000|X|
0700 913 615|0700913615961    1|BB00|BB0|120||120|020301|A|020301|400|999999|999000|PC|000|X|
0700 913 630|0700913630961    1|BB00|BB0|120||120|020302|A|020302|140|999999|999000|PC|000|X|
0700 916|0700916   961    1|BB00|BB0|120||120|020303|A|020303|42|999999|999000|PC|000|X|
0700 283 119|0700283119961    1|BB00|BB0|120||120|020304|A|020304|60|999999|999000|PC|000|X|
0700 193 019|0700193019961    1|BB00|BB0|120||120|020305|A|020305|31|999999|999000|PC|000|X|
0700 113 019|0700113019961    1|BB00|BB0|120||120|020306|A|020306|30|999999|999000|PC|000|X|
0700 715 09|070071509 961    1|BB00|BB0|120||120|020402|A|020402|50|999999|999000|PC|000|X|
0703 736 0|07037360  961    1|BB00|BB0|120||120|020403|A|020403|10|999999|999000|PC|000|X|
0703 232 0|#N/A|BB00|BB0|120||120|020404|A|020404|60|999999|999000|PC|000|X|
0613 640 1|06136401  960    1|BB00|BB0|120||120|020405|A|020405|204|999999|999000|PC|000|X|
0715 11  04|071511 04 961    1|BB00|BB0|120||120|020406|A|020406|60|999999|999000|PC|000|X|
0696 531 1|#N/A|BB00|BB0|120||120|020501|C|020501|32|999999|999000|PC|000|X|
0696 532 1|#N/A|BB00|BB0|120||120|020501|A|020501|100|999999|999000|PC|000|X|
0696 532 4|#N/A|BB00|BB0|120||120|020501|B|020501|40|999999|999000|PC|000|X|
0703 796 0|#N/A|BB00|BB0|120||120|020502|A|020502|40|999999|999000|PC|000|X|
0703 797 0|#N/A|BB00|BB0|120||120|020503|A|020503|50|999999|999000|PC|000|X|
0700 443 09|#N/A|BB00|BB0|120||120|020504|A|020504|140|999999|999000|PC|000|X|
0700 123 019|0700123019961    1|BB00|BB0|120||120|020505|A|020505|36|999999|999000|PC|000|X|
0703 281 0|#N/A|BB00|BB0|120||120|020506|A|020506|50|999999|999000|PC|000|X|
0614 250 301|0614250301061    1|BB00|BB0|120||120|020507|A|020507|50|999999|999000|PC|000|X|
0614 250 302|0614250302061    1|BB00|BB0|120||120|020507|B|020507|50|999999|999000|PC|000|X|
0614 250 303|0614250303061    1|BB00|BB0|120||120|020507|C|020507|50|999999|999000|PC|000|X|
0613 914 06|061391406 064    1|BB00|BB0|120||120|020601|A|020601|50|999999|999000|PC|000|X|
0613 913 6|06139136  064    1|BB00|BB0|120||120|020602|A|020602|42|999999|999000|PC|000|X|
0700 795 09|070079509 961    1|BB00|BB0|120||120|020603|A|020603|18|999999|999000|PC|000|X|
0703 813 0|#N/A|BB00|BB0|120||120|020604|A|020604|32|999999|999000|PC|000|X|
0703 853 0|#N/A|BB00|BB0|120||120|020605|A|020605|10|999999|999000|PC|000|X|
0703 110|#N/A|BB00|BB0|120||120|020701|A|020701|44|999999|999000|PC|000|X|
0613 901 5|06139015  960    1|BB00|BB0|120||120|020702|A|020702|144|999999|999000|PC|000|X|
0613 913 06|061391306 064    1|BB00|BB0|120||120|020703|A|020703|90|999999|999000|PC|000|X|
0715 120 4|07151204  961    1|BB00|BB0|120||120|020704|A|020704|75|999999|999000|PC|000|X|
0703 731 0|#N/A|BB00|BB0|120||120|020705|A|020705|90|999999|999000|PC|000|X|
0700 785 09|#N/A|BB00|BB0|120||120|020801|A|020801|24|999999|999000|PC|000|X|
0715 54 071|#N/A|BB00|BB0|120||120|020803|A|020803|500|999999|999000|PC|000|X|
0703 233 0|#N/A|BB00|BB0|120||120|020804|A|020804|60|999999|999000|PC|000|X|
0703 271 0|#N/A|BB00|BB0|120||120|020805|A|020805|20|999999|999000|PC|000|X|
0613 942 26|061394226 064    1|BB00|BB0|120||120|020901|A|020901|144|999999|999000|PC|000|X|
0613 986 5|06139865  060    1|BB00|BB0|120||120|020902|A|020902|56|999999|999000|PC|000|X|
0614 250 20|061425020 061    1|BB00|BB0|120||120|020903|A|020903|70|999999|999000|PC|000|X|
0614 250 352|0614250352061    1|BB00|BB0|120||120|020903|B|020903|150|999999|999000|PC|000|X|
0614 523 0|06145230  090    5|BB00|BB0|120||120|020903|C|020903|200|999999|999000|PC|000|X|
0614 582 0  |061452 0  |BB00|BB0|120||120|020903|D|020903|100|999999|999000|PC|000|X|
0690 14|069014    090    1|BB00|BB0|120||120|020904|A|020904|117|999999|999000|PC|000|X|
0690 421 1|06904211  090    1|BB00|BB0|120||120|020905|A|020905|100|999999|999000|PC|000|X|
0703 000 870|#N/A|BB00|BB0|120||120|021001|A|021001|40|999999|999000|PC|000|X|
0703 091 0|#N/A|BB00|BB0|120||120|021002|A|021002|20|999999|999000|PC|000|X|
0613 600 1|06136001  060    1|BB00|BB0|120||120|021003|A|021003|190|999999|999000|PC|000|X|
0712 012 0|07120120  960    1|BB00|BB0|120||120|021004|A|021004|28|999999|999000|PC|000|X|
0712 014 0|07120140  960    1|BB00|BB0|120||120|021004|B|021004|68|999999|999000|PC|000|X|
0712 130 101|0712130101060   10|BB00|BB0|120||120|021004|C|021004|40|999999|999000|PC|000|X|
0700 133 019|#N/A|BB00|BB0|120||120|021005|A|021005|30|999999|999000|PC|000|X|
0700 765 001|#N/A|BB00|BB0|120||120|021006|A|021006|50|999999|999000|PC|000|X|
0700 153 019|#N/A|BB00|BB0|120||120|021101|A|021101|60|999999|999000|PC|000|X|
0700 163 019|#N/A|BB00|BB0|120||120|021102|A|021102|60|999999|999000|PC|000|X|
0703 815 0|#N/A|BB00|BB0|120||120|021103|A|021103|20|999999|999000|PC|000|X|
0714 270 50|#N/A|BB00|BB0|120||120|021103|B|021103|20|999999|999000|PC|000|X|
0703 839 0|#N/A|BB00|BB0|120||120|021104|A|021104|50|999999|999000|PC|000|X|
0700 143 019|#N/A|BB00|BB0|120||120|021105|A|021105|10|999999|999000|PC|000|X|
0700 203 019|#N/A|BB00|BB0|120||120|021106|A|021106|20|999999|999000|PC|000|X|
0703 214|#N/A|BB00|BB0|120||120|021201|A|021201|40|999999|999000|PC|000|X|
0965 014 050|#N/A|BB00|BB0|120||120|021203|A|021203|60|999999|999000|PC|000|X|
0713 92  04|071392 04 005    1|BB00|BB0|120||120|021204|A|021204|300|999999|999000|PC|000|X|
0714 01 576|#N/A|BB00|BB0|120||120|021204|B|021204|30|999999|999000|PC|000|X|
0714 01 577|#N/A|BB00|BB0|120||120|021204|C|021204|30|999999|999000|PC|000|X|
0714 63  37|071463 37 090    1|BB00|BB0|120||120|021204|D|021204|10|999999|999000|PC|000|X|
0713 03 100|#N/A|BB00|BB0|120||120|021301|A|021301|90|999999|999000|PC|000|X|
0714 01 570|#N/A|BB00|BB0|120||120|021301|A|021301|40|999999|999000|PC|000|X|
0714 34  52|071434 52 061   10|BB00|BB0|120||120|021301|C|021301|50|999999|999000|PC|000|X|
0713 03 110|#N/A|BB00|BB0|120||120|021302|A|021302|30|999999|999000|PC|000|X|
0714 01 578|#N/A|BB00|BB0|120||120|021302|B|021302|30|999999|999000|PC|000|X|
0703 811 0|#N/A|BB00|BB0|120||120|021303|B|021303|20|999999|999000|PC|000|X|
0713 03 115|#N/A|BB00|BB0|120||120|021303|A|021303|90|999999|999000|PC|000|X|
0713 03 120|#N/A|BB00|BB0|120||120|021304|B|021304|30|999999|999000|PC|000|X|
0714 01 572|#N/A|BB00|BB0|120||120|021304|C|021304|30|999999|999000|PC|000|X|
0713 03  50|071303 50 090    1|BB00|BB0|120||120|021305|A|021305|200|999999|999000|PC|000|X|
0714 01 551|#N/A|BB00|BB0|120||120|021305|B|021305|50|999999|999000|PC|000|X|
0714 01 553|#N/A|BB00|BB0|120||120|021305|C|021305|30|999999|999000|PC|000|X|
0714 01 575|#N/A|BB00|BB0|120||120|021305|D|021305|30|999999|999000|PC|000|X|
0714 01 554|#N/A|BB00|BB0|120||120|021306|A|021306|30|999999|999000|PC|000|X|
0714 01 557|#N/A|BB00|BB0|120||120|021306|B|021306|30|999999|999000|PC|000|X|
