0001420|01|20|500|1
0001516|01|20|200|1
0001520|01|20|300|1
0001525|01|20|100|1
00089310005-S|11|20|2|1
00089310005-S|05|20|1|1
00089310005-S|01|20|1|1
00089310005-S|04|20|1|1
00101616|05|20|100|1
00101616|08|20|20|1
00101616|07|20|75|2
00101616|03|20|50|2
00101616|02|20|75|3
00101616|01|20|20|1
00101620|08|20|10|1
00101620|07|20|25|1
00101620|01|20|30|2
00101825|01|20|120|2
00101825|05|20|200|1
00101825|06|20|50|1
119538|04|20|18600|2
001343912|05|20|100|1
001343912|08|20|200|2
001343912|01|20|100|1
001343912|02|20|100|1
001343912|09|20|100|1
001343912|12|20|100|1
001343918|06|20|100|1
001343918|05|20|100|1
001343918|02|20|100|1
001343918|08|20|100|1
001343918|01|20|100|1
001343918|12|20|100|1
001343924|01|20|100|1
001343924|09|20|150|2
001343924|12|20|100|1
001343924|08|20|110|2
001343924|07|20|25|1
001343932|07|20|50|2
001343932|12|20|100|1
001343932|09|20|250|3
001343932|08|20|110|2
001344219|09|20|100|1
001344519|07|20|75|2
001344519|08|20|380|4
001344519|05|20|100|1
001344519|11|20|200|2
001344519|12|20|200|2
001344519|01|20|400|3
001344519|02|20|100|1
001344519|09|20|300|2
001344519|10|20|200|1
00198575|06|20|3000|1
290635860|05|20|1000|1
290635860|07|20|3200|1
290635860|09|20|3600|1
290635880|02|20|20000|1
0039404|01|20|100|1
0039545|01|20|600|1
00401040|01|20|600|1
0040420|01|20|1000|1
0040514|05|20|2000|1
0040514|10|20|3000|1
0040514|11|20|5000|1
0040514|09|20|5000|2
0040514|01|20|3000|1
0040516|01|20|1000|1
0040520|07|20|500|1
0040540|01|20|500|1
0046635|08|20|10|1
00460450|02|20|100|1
00460525|02|20|100|1
00460550|02|20|100|1
00460625|02|20|100|1
0046520|01|20|100|1
0046525|01|20|200|1
0048540|04|20|500|1
0048540|12|20|500|1
0048540|01|20|1000|1
0048540|06|20|1000|1
0048540|03|20|2000|1
0048550|03|20|1000|1
0048550|01|20|1000|1
0048550|04|20|500|1
00500 010M|01|20|50|2
00500 010M|02|20|15|1
00500 012M|01|20|20|1
00500 013M|03|20|25|1
00500 013M|02|20|50|2
00500 013M|01|20|50|2
00500 03M|01|20|10|1
00500 03M|06|20|61|3
00500 04M|06|20|50|1
00500 06M|06|20|30|1
00500 06M|01|20|50|2
00500 06M|02|20|100|4
00500 06M|08|20|50|1
00500 07M|07|20|10|1
00500 07M|06|20|30|1
00500 07M|08|20|30|1
00500 09M|01|20|25|1
00500100101|11|20|4|1
00500100101|08|20|20|1
00500100101|12|20|4|1
00500100101|10|20|85|1
00500100101|01|20|50|2
00500100101|02|20|100|4
00500100101|03|20|75|3
00500100101|04|20|50|1
00500100102|08|20|34|1
00500100103|01|20|25|1
00500100103|03|20|25|1
00500100103|02|20|50|2
00500100103|07|20|25|1
00500100105|01|20|25|1
00500100106|01|20|55|2
00500100106|02|20|50|2
00500100106|03|20|25|1
00500100106|04|20|25|1
00500100106|08|20|65|1
00500100107|01|20|25|1
00500100107|02|20|50|2
00500100107|03|20|25|1
00500100108|08|20|50|1
00500100109|04|20|50|1
00500100113|04|20|25|1
00500100113|05|20|500|1
00500100113|10|20|500|1
00500100113|07|20|75|2
00500100113|01|20|800|2
00500100113|06|20|50|1
00500100114|02|20|50|2
00500100114|01|20|25|1
00500100114|03|20|25|1
00500100116|01|20|25|1
00500100116|10|20|25|1
00500100116|08|20|50|1
00500100116|02|20|50|2
00500100117|01|20|25|1
00500100117|02|20|50|2
00500100118|02|20|50|2
00500100118|01|20|25|1
00500100120|04|20|100|1
00500100121|03|20|25|1
00500100121|02|20|50|2
00500100121|06|20|20|1
00500100121|01|20|25|1
00500100122|02|20|20|1
00500100122|01|20|25|1
00500100123|03|20|25|1
00500100123|01|20|25|1
00500100123|02|20|50|2
00500100124|04|20|50|1
00500100126|03|20|25|1
00500100126|02|20|50|2
00500100126|01|20|25|1
00500100126|09|20|50|1
00500100126|08|20|146|4
00500100127|03|20|25|1
00500100127|02|20|50|2
00500100127|01|20|25|1
00500100127|07|20|300|2
00500100127|08|20|50|1
00500100129|03|20|25|1
00500100129|02|20|50|2
00500100129|01|20|25|1
00500100130|02|20|25|1
00500100130|01|20|125|2
00500100132|01|20|100|1
00500100133|01|20|100|1
00500100134|04|20|60|1
00500100134|08|20|12|1
